channel,energy
0,50.69 - 94.14 keV
1,89.79 - 166.76 keV
2,137.71 - 255.75 keV
3,233.57 - 433.77 keV
4,386.98 - 718.67 keV
5,713.19 - 1324.5 keV
6,1452.96 - 2698.36 keV
7,3110.64 - 5776.9 keV
8,4733.08 - 8790.01 keV
