Energy,Intensity,E_err_minus,E_err_plus,I_err
14.330387294138285,3002859.5,0.7303872941382856,0.7696127058617144,3311.1702
16.015617378046965,1954478.5,1.015617378046965,1.0843826219530364,2227.0383
18.11353085403285,1172048.5,1.1135308540328488,1.186469145967152,1637.4696
22.249494376277408,443400.8,1.449494376277407,1.550505623722593,855.5608
25.066312054229275,247249.42,1.2663120542292745,1.3336879457707234,665.7058
27.94834521040557,151322.97,1.6483452104055694,1.7516547895944292,454.91434
31.44264619907173,90732.44,1.84264619907173,1.9573538009282672,315.7921
34.57918449009461,57045.81,1.1791844900946131,1.2208155099053855,308.36285
37.971041597512176,35755.402,2.371041597512175,2.5289584024878238,162.44809
48.98979485566356,16073.084,8.989794855663561,11.010205144336439,49.943615
77.45966692414834,4638.2256,17.459666924148337,22.540333075851663,17.028013
