Energy,Intensity,E_err_minus,E_err_plus,I_err
14.330387294138285,438998.06,0.7303872941382856,0.7696127058617144,1778.0128
16.015617378046965,269456.62,1.015617378046965,1.0843826219530364,1179.5603
18.11353085403285,159486.98,1.1135308540328488,1.186469145967152,867.4297
22.249494376277408,54570.395,1.449494376277407,1.550505623722593,443.23508
25.066312054229275,28743.176,1.2663120542292745,1.3336879457707234,342.62762
27.94834521040557,15683.335,1.6483452104055694,1.7516547895944292,226.02292
31.44264619907173,8634.286,1.84264619907173,1.9573538009282672,156.06552
34.57918449009461,4401.773,1.1791844900946131,1.2208155099053855,142.89143
37.971041597512176,2439.568,2.371041597512175,2.5289584024878238,73.65854
48.98979485566356,778.17426,8.989794855663561,11.010205144336439,20.63665
77.45966692414834,123.63686,17.459666924148337,22.540333075851663,5.8155594
