datetime,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33
2022-01-20 00:00:30.451561,,610.8765,0.0,2319.6216,831.9523,403.3569,0.0,577.58466,457.06552,219.21864,435.63876,0.0,0.0,290.1922,0.0,0.0,0.0,0.0,88.9753,0.0,0.0,67.76555,58.67109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.866673,45.647266,50.158504,0.0
2022-01-20 00:01:30.451561,,1221.753,0.0,927.84863,415.97614,403.3569,299.53607,577.58466,0.0,0.0,1089.0969,0.0,169.81435,145.0961,0.0,123.60319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57012,51.61536,0.0,0.0,38.311687,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-20 00:02:30.451561,,1221.753,491.7059,927.84863,0.0,806.7138,0.0,0.0,228.53276,0.0,217.81938,177.6298,169.81435,290.1922,128.9036,247.20638,0.0,0.0,0.0,79.68786,79.81685,0.0,0.0,58.57012,0.0,0.0,43.441692,0.0,0.0,0.0,0.0,45.647266,0.0,60.36797
2022-01-20 00:03:30.451561,,0.0,983.4118,463.92432,1663.9045,1210.0707,0.0,577.58466,228.53276,0.0,435.63876,0.0,169.81435,290.1922,0.0,123.60319,223.65346,0.0,0.0,0.0,0.0,0.0,117.34218,0.0,0.0,46.115623,0.0,38.311687,0.0,35.854694,0.0,45.647266,0.0,0.0
2022-01-20 00:04:30.451561,,610.8765,983.4118,1391.773,831.9523,1210.0707,599.07214,577.58466,228.53276,438.4373,217.81938,177.6298,169.81435,0.0,128.9036,0.0,0.0,96.40526,88.9753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.311687,0.0,0.0,0.0,45.647266,50.158504,0.0
2022-01-20 00:05:30.451561,,1221.753,2458.5295,927.84863,1247.9283,403.3569,1198.1443,288.79233,228.53276,0.0,0.0,532.8894,339.6287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.67109,0.0,51.61536,92.23125,0.0,0.0,0.0,0.0,0.0,45.647266,0.0,0.0
2022-01-20 00:06:30.451561,,610.8765,0.0,1855.6973,415.97614,403.3569,0.0,577.58466,0.0,0.0,0.0,0.0,169.81435,290.1922,128.9036,0.0,0.0,96.40526,0.0,0.0,0.0,67.76555,117.34218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.647266,50.158504,0.0
2022-01-20 00:07:30.451561,,1221.753,1966.8236,0.0,0.0,0.0,299.53607,288.79233,457.06552,438.4373,217.81938,0.0,509.44302,145.0961,0.0,123.60319,111.82673,0.0,0.0,0.0,0.0,0.0,0.0,117.14024,51.61536,0.0,0.0,38.311687,0.0,35.854694,37.866673,136.9418,50.158504,0.0
2022-01-20 00:08:30.451561,,610.8765,1966.8236,927.84863,1247.9283,806.7138,898.6082,577.58466,685.5983,219.21864,0.0,355.2596,339.6287,0.0,0.0,0.0,0.0,96.40526,0.0,0.0,79.81685,67.76555,0.0,0.0,0.0,0.0,0.0,38.311687,0.0,0.0,0.0,0.0,100.31701,0.0
2022-01-20 00:09:30.451561,,1832.6294,983.4118,927.84863,831.9523,806.7138,299.53607,0.0,457.06552,219.21864,435.63876,177.6298,0.0,145.0961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.68436,58.57012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.647266,0.0,0.0
2022-01-20 00:10:30.451561,,1832.6294,1475.1177,2319.6216,1247.9283,403.3569,898.6082,288.79233,0.0,0.0,0.0,177.6298,0.0,0.0,515.6144,0.0,0.0,96.40526,88.9753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.311687,39.740337,71.70939,37.866673,0.0,0.0,60.36797
2022-01-20 00:11:30.451561,,610.8765,491.7059,1391.773,1663.9045,403.3569,599.07214,1155.1693,228.53276,438.4373,0.0,0.0,169.81435,145.0961,0.0,0.0,111.82673,0.0,88.9753,0.0,0.0,0.0,58.67109,0.0,0.0,0.0,0.0,38.311687,0.0,35.854694,0.0,0.0,0.0,60.36797
2022-01-20 00:12:30.451561,,610.8765,491.7059,927.84863,415.97614,806.7138,599.07214,288.79233,685.5983,219.21864,0.0,177.6298,0.0,0.0,0.0,123.60319,0.0,0.0,0.0,79.68786,0.0,67.76555,0.0,0.0,0.0,46.115623,43.441692,38.311687,39.740337,0.0,0.0,0.0,50.158504,0.0
2022-01-20 00:13:30.451561,,1221.753,1475.1177,927.84863,0.0,806.7138,0.0,577.58466,457.06552,657.65594,217.81938,177.6298,0.0,0.0,257.8072,0.0,223.65346,0.0,0.0,79.68786,0.0,0.0,0.0,0.0,51.61536,0.0,0.0,0.0,0.0,35.854694,0.0,45.647266,50.158504,0.0
2022-01-20 00:14:30.451561,,610.8765,2950.2354,1391.773,415.97614,403.3569,898.6082,866.37695,0.0,0.0,217.81938,0.0,169.81435,145.0961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57012,51.61536,46.115623,0.0,0.0,0.0,35.854694,0.0,0.0,0.0,0.0
2022-01-20 00:15:30.451561,,0.0,1966.8236,0.0,1247.9283,403.3569,299.53607,577.58466,0.0,219.21864,0.0,177.6298,169.81435,145.0961,128.9036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.57012,51.61536,46.115623,0.0,38.311687,39.740337,0.0,0.0,0.0,50.158504,60.36797
